datetime,username,tweets
2023-01-04 17:11:38+00:00,ysttss,"Lg.ada hal apa nybabin dia ngmng gitu 
Capee .. sakit hati ..
Ga pernah tau si perasaan yang timggal sama mertua dicuekin kalau plg kerja ga mau ngmng lama lama pnjang sama istri kalau bawel br dah gitu sedih bgt ssmpe nusuk hr ini"
2023-01-04 17:09:54+00:00,ValentAnto,"Satu-satunya wanita selain calon istri, yang paling menuntut Anda untuk sejahtera adalah calon ibu mertua"
2023-01-04 17:03:33+00:00,VIVAcoid,"Hendak Nikahi Mertua, Akun Bodong Rozy Zay Hakiki Bertebaran di Pusaran Kasus Norma Risma https://t.co/FPNxAcw9Vg #trending"
2023-01-04 17:02:05+00:00,tya_senja,"Jadi kepikiran, Ricis ngajak Moana main jetski tanpa pelampung kayak gitu apa gak takut diomelin sama mertua? 🤣"
2023-01-04 16:57:50+00:00,HasbiHa43975445,Selingkuh mertua
2023-01-04 16:57:32+00:00,FebtiAulia1,"@cursedkidd Daripada keliatannya punya banyak tp punya mertua. Sabarlah, banyakin saving dulu. 3 tahun lg beli cash."
2023-01-04 16:57:20+00:00,sedang_ingin,Apdet terbaru: menantu &amp; mertua masih belum ada titik temu. Saya bahkan belum mulai bekerja tapi udah ikut pusing duluan.
2023-01-04 16:57:17+00:00,keecaappp,@nauatsau Maen ke rumah Itoshi yok (?) sungkem ke calon mertua sekalian nanya bikin anaknya pake style apa kok bisa ganteng ga wajar gt coooo 😭🙏🏻
2023-01-04 16:50:59+00:00,maeir3ne,kenapa jdi adu jago”an anak dah? ini mbaknya kurang bimbingan ortu sama mertua kah??? DAN DIA BANGGA SUMPAH OTAKNYA HILANG😭 https://t.co/AUI5Ysvpvm
2023-01-04 16:49:54+00:00,nety_rusi,@Aryprasetyo85 anjirrr Lord Arief. Ngapain disamain sama mertua durhaka si inii oiii
2023-01-04 16:49:44+00:00,Imrose69,"Gas Khunsam lampu hijau dari calon mertua 😅❤️🥰
@AngelssBecky @srchafreen @GAPtheseries 
#FreenBeck #FreenBecky_HNY2023 #srchafreen #Beckysangels #GAPtheseries https://t.co/0rddtbbXge"
2023-01-04 16:47:41+00:00,rinochiie,bapa mertua ngguanteng pol https://t.co/HwoLiVWhKV
2023-01-04 16:46:15+00:00,Tarekahan,@18fesss Gimana caranya ngobrol sama claon mertua biar ga canggung?
2023-01-04 16:43:32+00:00,chochohazelnat,"@collegemenfess kebidanan, dikira semua pecinta kaum halodek. bosen bgt cewe semua:( selalu menghadapi gombalan basi bidan=bidadari idaman. banyak mertua tetapi satupun belum nampak hilalnya. kadang kalo ketemu pasien yang baik waktu praktek selalu ditawari buah,roti bahkan anaknya sendiri😭"
2023-01-04 16:42:54+00:00,iruuuuuul,"@18fesss tenang, masih ada mertua"
2023-01-04 16:41:27+00:00,ciwiselalubenar,"@tanyakanrl Bikin anak kalen suka ma aku
Btw calon mertua mau martabak spesial gaa?"
2023-01-04 16:40:21+00:00,redaksidetail,"Rozy Mantan Norma Risma Lapor Polisi Soal Viral Selingkuhi Mertua

https://t.co/PTz0KP4dIE"
2023-01-04 16:37:37+00:00,raumericano,"Harus berapa kali bilang, mau Noahhhhhh tp yg mamanya bucin ma aku juga. Gamau mertua yg demanding :( https://t.co/eG0mQUsUQF"
2023-01-04 16:37:36+00:00,curvybitch38,Terharu jap bakal mak mertua hadiahkan jubah mekah dkt aku🥲
2023-01-04 16:34:10+00:00,TheEagle_BEN,"@Catatan_ali7 @inneycha @ArwahMiliter MASIH FOTO DULU KATA IBU MERTUA.
BESOK NOMORNYA NYUSUL☺️"
2023-01-04 16:34:04+00:00,tabouthee,@FvckUmine Ga akan kejadian klo di rumah mertua
2023-01-04 16:33:27+00:00,Dwi85650673,@tololmeroket Malu malu in nih klo nginep ditempat mertua wkwkw
2023-01-04 16:32:29+00:00,lezsei,@psunghon Kamu bisa ngangkat aqua galon nggak? Kalau bisa berarti kamu emang calon idaman mertua..
2023-01-04 16:32:18+00:00,kaidennduut,"ml yang kelakuannya ga ampas sama calon istrinya yang belum dia kenal samsek 👌🏻

alhamdulillah cuma keluarga mertua ama keluarga rosalyn aja yang ampas, calon suaminya rosalyn ngga walopun belom keluar sisi beringasnya https://t.co/IgJEQmYQbt"
2023-01-04 16:31:37+00:00,galanggarang,"@iirsyadi_ Emoh, tak ijolno fender ae 🗿 fender panjen"
2023-01-04 16:31:04+00:00,galanggarang,@SandyResi Wkwkkwkw kabeh tak pameri lek iso murup!!!! 🤣
2023-01-04 16:30:34+00:00,galanggarang,Okay https://t.co/byBvLC1Gyv
2023-01-04 16:29:04+00:00,Netijen_BGST,@tanyakanrl Saya mau jawab : Kelebihan sy bisa menyiksa mertua yg ribet dan rewel
2023-01-04 16:27:35+00:00,Vachivaamet,@Braiiitmetaa Halooo ibun mertua
2023-01-04 16:27:17+00:00,iibong666,"@tanyakanrl Ga ada lebihnya, skip. Ganti mertua"
2023-01-04 16:23:23+00:00,aogt13,"Duit ngga kenal sodara, duit bs bkin org yg saling menyayangi jadi saling nodong sajam.
Doi blg ud bkin catetan hitam diatas putih tp dilanggar trs ga ngaku, aduh aduh udah deh calon2 mertua red flag 🙈"
2023-01-04 16:23:09+00:00,bapakmuBapak,Lagi dirumah mertua
2023-01-04 16:18:59+00:00,BEOMGYUmuse,"[ I was talking about Choi Beomgyu from A to Z, beside an Idol he’s more than that.. He’s so talented, church boy, anak idaman mama mertua. ] https://t.co/Q1oLVGYkc0"
2023-01-04 16:15:57+00:00,localauniverse,"/auvers BARU UPDATE 

✅ Drama &amp; romcom
✅ Perjodohan 
✅ Marriage life
✅ 95% chat/twt 5% narasi (kalo emg lagi cari bacaan simpel)
✅ Cowok bendera ijo 💚
❎ Orang ketiga 
❎ Slingkuy
✅ Mertua &amp; ipar nyebelin.
https://t.co/b2tBQLjTkT
https://t.co/gKpbiEnG8h ."
2023-01-04 16:15:25+00:00,nctzenhalu,"/nctzh/ BARU UPDATE 

✅ Drama &amp; romcom
✅ Perjodohan 
✅ Marriage life
✅ 95% chat/twt 5% narasi (kalo emg lagi cari bacaan simpel)
✅ Cowok bendera ijo 💚
❎ Orang ketiga 
❎ Slingkuy
✅ Mertua &amp; ipar nyebelin.
https://t.co/v95GCWLCag
https://t.co/1UonFe0Fh8 ."
2023-01-04 16:15:05+00:00,lithevoir,"mantap, semua ada semua bisa di hagia #idaman #mamah #mertua langsung cekidot bersama pak mursid https://t.co/EnSDS6EFH3 https://t.co/CbGlTdzUIP"
2023-01-04 16:13:46+00:00,Cece_4322,"[VIRAL ANAK SMA DI PAKSA NGWE SAMA AYAH MERTUA🔥]

full durasi 20 menit

Link Full Video? Di Bio Provil Aku

#SANGE_AAAAAAAAAAH #AnakSMA #SMAVIRAL2023 ##SANGE_AAAAAAAAA https://t.co/YOtCBP4iDN"
2023-01-04 16:12:42+00:00,burcalmer,disini ambarita mirip bgt sama antonio banderas https://t.co/m7xxjoeAu7
2023-01-04 16:11:13+00:00,Widyarenee,"Malam yg bakal panjaaang...
Timbang terigu, gula, kerupuk, kacang... karungan neh.
Belum lagi tata barang, beruantakan  sana-sini. Tadi sih sambil ngerumpi sama mertua. Sekarang senyap. https://t.co/snBEMZHHBw"
2023-01-04 16:10:44+00:00,dawiguna,"@ian_harson @Tita83079013 Agama manapun yang MELARANG ?

terus, dia bilang mo nikahin ibu mertua, supaya hapus dosa, itu bagian dari ajaran agama juga?

yang ngaco siapa nih?"
2023-01-04 16:10:22+00:00,smoothmyeon,"SKM, sarjana kesayangan mertua katanya 🙂 https://t.co/E7rJaxUc4m"
2023-01-04 16:10:16+00:00,CilorOreo,@tanyakanrl Bisa ngomel dipagi hari seperti sampean ketika membangunkan anak e sampean wahai bunda ratu calon mertua yang terhormat
2023-01-04 16:04:06+00:00,h0tterthanurex,"@tanyakanrl tp kl calon mertua gue nanya hal itu sblm nikah, i swear i will not marry their son"
2023-01-04 16:01:39+00:00,daazzzkewl,Nanti gua ama mertua gua gimana ya.... Apakah bikin podcast rumpi no secret di dapur? Omg seru bgt
2023-01-04 16:00:25+00:00,intanecio,@tanyarlfes Mamam tu gembokan mertua.
2023-01-04 15:59:12+00:00,lixfluvy,"@tanyarlfes YAUDAH LO NIKAH LAH SAMA MERTUA NYA, NGAPAIN SAMA ANAKNYA https://t.co/vz5fMEjsKJ"
2023-01-04 15:58:47+00:00,SONDESlX,@tanyakanrl emang ada mertua yang nanya kek gitu kh
